iso,elec,variable,unit.energy,current.dle.op,current.dle.conrep
ABW,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1243.0769230769229,2.6181818181818177
ABW,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0.0,0.0
ABW,total,Appliance|clean_cooking_fuel,MJ/cap/year,0.0,0.0
ABW,elec,Appliance|television,MJ/cap/year,402.7972027972028,55.21678321678321
ABW,non.elec,Appliance|television,MJ/cap/year,0.0,0.0
ABW,total,Appliance|television,MJ/cap/year,0.0,0.0
ABW,elec,Appliance|mobile_telephone,MJ/cap/year,15.496503496503495,12.307692307692307
ABW,non.elec,Appliance|mobile_telephone,MJ/cap/year,0.0,0.0
ABW,total,Appliance|mobile_telephone,MJ/cap/year,0.0,0.0
ABW,elec,Appliance|refrigerator,MJ/cap/year,322.2377622377622,141.2027972027972
ABW,non.elec,Appliance|refrigerator,MJ/cap/year,0.0,0.0
ABW,total,Appliance|refrigerator,MJ/cap/year,0.0,0.0
AFG,elec,Appliance|clean_cooking_fuel,MJ/cap/year,338.7384615384615,0.7134545454545448
AFG,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0.0,0.0
AFG,total,Appliance|clean_cooking_fuel,MJ/cap/year,0.0,0.0
AFG,elec,Appliance|television,MJ/cap/year,204.620979020979,28.05012587412587
AFG,non.elec,Appliance|television,MJ/cap/year,0.0,0.0
AFG,total,Appliance|television,MJ/cap/year,0.0,0.0
AFG,elec,Appliance|mobile_telephone,MJ/cap/year,13.52844755244755,10.744615384615384
AFG,non.elec,Appliance|mobile_telephone,MJ/cap/year,0.0,0.0
AFG,total,Appliance|mobile_telephone,MJ/cap/year,0.0,0.0
AFG,elec,Appliance|refrigerator,MJ/cap/year,62.19188811188809,27.252139860139877
AFG,non.elec,Appliance|refrigerator,MJ/cap/year,0.0,0.0
AFG,total,Appliance|refrigerator,MJ/cap/year,0.0,0.0
AGO,elec,Appliance|clean_cooking_fuel,MJ/cap/year,589.2184615384615,1.2410181818181814
AGO,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0.0,0.0
AGO,total,Appliance|clean_cooking_fuel,MJ/cap/year,0.0,0.0
AGO,elec,Appliance|television,MJ/cap/year,200.19020979020985,27.442741258741258
