iso,elec,variable,unit.energy,thres.energy,thres.energy.op,thres.energy.conrep
ABW,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1197.94997,1195.432139,2.517831867
ABW,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ABW,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ABW,elec,Appliance|television,MJ/cap/year,440.4591772,387.3587488,53.10042848
ABW,non.elec,Appliance|television,MJ/cap/year,0,0,0
ABW,total,Appliance|television,MJ/cap/year,0,0,0
ABW,elec,Appliance|mobile_telephone,MJ/cap/year,26.73851363,14.90255186,11.83596177
ABW,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
ABW,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
ABW,elec,Appliance|refrigerator,MJ/cap/year,445.6777604,309.886999,135.7907614
ABW,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
ABW,total,Appliance|refrigerator,MJ/cap/year,0,0,0
AFG,elec,Appliance|clean_cooking_fuel,MJ/cap/year,553.9004975,552.7363184,1.164179104
AFG,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AFG,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AFG,elec,Appliance|television,MJ/cap/year,203.6567164,179.1044776,24.55223881
AFG,non.elec,Appliance|television,MJ/cap/year,0,0,0
AFG,total,Appliance|television,MJ/cap/year,0,0,0
AFG,elec,Appliance|mobile_telephone,MJ/cap/year,12.36318408,6.890547264,5.472636816
AFG,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AFG,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AFG,elec,Appliance|refrigerator,MJ/cap/year,206.0696517,143.2835821,62.78606965
AFG,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
AFG,total,Appliance|refrigerator,MJ/cap/year,0,0,0
AGO,elec,Appliance|clean_cooking_fuel,MJ/cap/year,923.93361,921.9917012,1.941908714
AGO,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AGO,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AGO,elec,Appliance|television,MJ/cap/year,339.7095436,298.7551867,40.95435685
AGO,non.elec,Appliance|television,MJ/cap/year,0,0,0
AGO,total,Appliance|television,MJ/cap/year,0,0,0
AGO,elec,Appliance|mobile_telephone,MJ/cap/year,20.62240664,11.49377593,9.128630705
AGO,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AGO,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AGO,elec,Appliance|refrigerator,MJ/cap/year,343.7344398,239.0041494,104.7302905
AGO,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
AGO,total,Appliance|refrigerator,MJ/cap/year,0,0,0
ALB,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1349.50303,1346.666667,2.836363636
ALB,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ALB,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
