iso,variable,unit,value,type,note,year,version,author
ABW,Nutrition,kcal/cap/day,110.76426476846788,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ABW,Transport,pkm/cap/year,2791.522518041125,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AFG,Nutrition,kcal/cap/day,239.98379214801005,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AFG,Transport,pkm/cap/year,10061.774270725262,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AGO,Nutrition,kcal/cap/day,166.9855668858223,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AGO,Transport,pkm/cap/year,15576.82693338069,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ALB,Nutrition,kcal/cap/day,69.45466997839817,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ALB,Transport,pkm/cap/year,3306.8245712720945,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ARE,Nutrition,kcal/cap/day,50.80156492714908,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ARE,Transport,pkm/cap/year,1864.308340367224,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ARG,Nutrition,kcal/cap/day,37.91504957216699,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ARG,Transport,pkm/cap/year,12897.514802557944,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ARM,Nutrition,kcal/cap/day,49.558360724777366,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
ARM,Transport,pkm/cap/year,4296.089354005629,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AUS,Nutrition,kcal/cap/day,18.46331643306733,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AUS,Transport,pkm/cap/year,8372.010193697395,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
AUT,Nutrition,kcal/cap/day,5.918932423364562,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:55:27Z,Jarmo S. Kikstra
