iso,variable,unit,value,type,note,year,version,author
ABW,Nutrition,kcal/cap/day,5.013357020285679,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
ABW,Transport,pkm/cap/year,1411.663287780834,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
AFG,Nutrition,kcal/cap/day,23.29701979608397,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
AFG,Transport,pkm/cap/year,4979.646252485454,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
AGO,Nutrition,kcal/cap/day,22.73434273397979,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
AGO,Transport,pkm/cap/year,8490.154686028862,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
ALB,Nutrition,kcal/cap/day,3.2037017930374256,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
ALB,Transport,pkm/cap/year,1471.6528731749354,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
ARE,Nutrition,kcal/cap/day,0.4644547495312031,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
ARE,Transport,pkm/cap/year,858.4240717561565,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-05-05T16:37:48Z,Jarmo S. Kikstra
