iso,variable,unit,value,type,note,year,version,author
ABW,Nutrition,kcal/cap/day,51.02292615369728,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ABW,Transport,pkm/cap/year,2072.5114725696276,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AFG,Nutrition,kcal/cap/day,148.78150597690663,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AFG,Transport,pkm/cap/year,7457.380078438241,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AGO,Nutrition,kcal/cap/day,105.84987987085425,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AGO,Transport,pkm/cap/year,12016.491429021473,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ALB,Nutrition,kcal/cap/day,30.266005192556012,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ALB,Transport,pkm/cap/year,2318.747832740066,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ARE,Nutrition,kcal/cap/day,14.04073142127889,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ARE,Transport,pkm/cap/year,1325.581507833336,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ARG,Nutrition,kcal/cap/day,11.613333398702567,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ARG,Transport,pkm/cap/year,9558.682303395146,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ARM,Nutrition,kcal/cap/day,14.319412121361069,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
ARM,Transport,pkm/cap/year,3007.5263827098956,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AUS,Nutrition,kcal/cap/day,2.6878735911271154,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AUS,Transport,pkm/cap/year,5916.822166544563,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AUT,Nutrition,kcal/cap/day,0.5524359721568972,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AUT,Transport,pkm/cap/year,1289.3147970323193,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AZE,Nutrition,kcal/cap/day,7.314869232954248,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
AZE,Transport,pkm/cap/year,2703.1138983556307,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BDI,Nutrition,kcal/cap/day,76.51503806855001,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BDI,Transport,pkm/cap/year,1998.1970352643586,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BEL,Nutrition,kcal/cap/day,0.39069446186411855,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BEL,Transport,pkm/cap/year,820.0736057431244,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BEN,Nutrition,kcal/cap/day,41.07878118499777,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BEN,Transport,pkm/cap/year,4125.925502020304,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BFA,Nutrition,kcal/cap/day,124.51868915555116,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BFA,Transport,pkm/cap/year,5607.230113626298,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BGD,Nutrition,kcal/cap/day,88.68941920332668,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BGD,Transport,pkm/cap/year,1570.0577731482067,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BGR,Nutrition,kcal/cap/day,17.478208510110928,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BGR,Transport,pkm/cap/year,3972.7423777335844,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BHR,Nutrition,kcal/cap/day,0.023227110654746735,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BHR,Transport,pkm/cap/year,1260.519656142538,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BHS,Nutrition,kcal/cap/day,308.23780092303184,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BHS,Transport,pkm/cap/year,1859.3007463088345,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BIH,Nutrition,kcal/cap/day,5.680101635663701,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BIH,Transport,pkm/cap/year,3362.105664993216,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BLR,Nutrition,kcal/cap/day,3.7103223417879407,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BLR,Transport,pkm/cap/year,4644.0347784355745,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BLZ,Nutrition,kcal/cap/day,40.24284294776284,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BLZ,Transport,pkm/cap/year,3913.5794059415925,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BOL,Nutrition,kcal/cap/day,90.2674243759285,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BOL,Transport,pkm/cap/year,9932.939721881872,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BRA,Nutrition,kcal/cap/day,7.683974605652986,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BRA,Transport,pkm/cap/year,6750.608139955285,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
BRB,Nutrition,kcal/cap/day,23.218796909432488,Depth-of-deficit,The depth-of-deficit is calculated as the average deprivation among those below the Decent Living Standard threshold.,2015 (estimated),2025-03-21T19:03:44Z,Jarmo S. Kikstra
