iso,hh_size
ABW,3.7174841270333334
AFG,8.04
AGO,4.82
ALB,3.3
ARE,4.895833333
ARG,3.26
ARM,3.54
AUS,2.55
AUT,2.27
AZE,4.55
BDI,4.83
BEL,2.34
BEN,5.19
BFA,5.92
BGD,4.47
BGR,2.34
BHR,4.895833333
BHS,3.7174841270333334
BIH,2.755333333
BLR,2.455
BLZ,4.162857143
BOL,3.53
BRA,3.31
BRB,3.321666667
BRN,4.3285
BTN,5.59
BWA,3.52
CAF,4.91
CAN,2.45
CHE,2.225
CHL,3.575
CHN,3.38
CIV,5.09
CMR,4.99
COD,5.3
COG,4.31
COL,3.53
COM,5.37
CPV,5.758461538
CRI,3.46
CUB,3.14
CYP,2.755
CZE,2.37
DEU,2.095
DJI,4.456428571
DNK,2.3425
DOM,3.48
DZA,4.986666667
ECU,3.78
EGY,4.13
ERI,4.456428571
ESP,2.616666667
EST,2.3
ETH,4.61
FIN,2.07
FJI,4.57
FRA,2.22
FSM,4.284458333333333
GAB,4.1
GBR,2.31
GEO,3.34
GHA,3.49
GIN,6.25
GLP,3.7174841270333334
GMB,8.23
GNB,5.758461538
GNQ,4.75625
GRC,2.5
GRD,3.321666667
GTM,4.81
GUF,3.45
GUM,2.5366666666666666
GUY,3.8
HKG,4.298333333333334
HND,4.47
HRV,2.8
HTI,4.29
HUN,2.44
IDN,3.86
IND,4.57
IRL,2.77
IRN,3.5
IRQ,7.7
ISL,2.3425
ISR,3.14
ITA,2.4
JAM,3.06
JOR,4.72
JPN,2.33
KAZ,3.5
KEN,3.64
KGZ,4.21
KHM,4.61
KOR,2.53
KWT,4.895833333
LAO,5.77
LBN,4.895833333
LBR,4.95
LBY,4.986666667
LCA,3.321666667
LKA,5.59
LSO,3.34
LTU,2.35
LUX,2.41
LVA,2.48
MAC,4.284458333333333
MAR,5.24
MDA,2.89
MDG,4.95
MDV,5.4
MEX,3.74
MKD,2.755333333
MLI,5.81
MLT,2.76
MMR,4.22
MNE,3.21
MNG,4.32
MOZ,4.37
MRT,5.758461538
MTQ,3.7174841270333334
MUS,3.48
MWI,4.51
MYS,4.565
MYT,4.915672181021739
NAM,4.24
NCL,4.284458333333333
NER,5.92
NGA,4.9
NIC,4.92
NLD,2.23
NOR,2.22
NPL,4.24
NZL,2.67
OMN,8.02
PAK,6.8
PAN,3.67
PER,3.75
PHL,4.23
PNG,5.43
POL,2.815
PRI,2.67
PRK,3.93
PRT,2.616666667
PRY,4.63
PSE,4.895833333
PYF,4.284458333333333
QAT,4.895833333
REU,4.915672181021739
ROU,2.74
RUS,2.58
RWA,4.26
SAU,4.895833333
SDN,5.59
SEN,8.66
SGP,3.29
SLB,4.284458333333333
SLE,5.9
SLV,4.07
SOM,4.456428571
SRB,2.88
STP,3.84
SUR,3.94
SVK,2.85
SVN,2.47
SWE,2.3425
SWZ,4.74
SYR,4.895833333
TCD,5.78
TGO,4.55
THA,3.69
TJK,5.99
TKM,3.420357143
TLS,5.27
TON,4.284458333333333
TTO,3.29
TUN,4.986666667
TUR,4.07
TZA,4.85
UGA,4.53
UKR,2.46
URY,2.79
USA,2.49
UZB,5.24
VCT,3.321666667
VEN,4.33
VIR,2.5366666666666666
VNM,3.78
VUT,5.43
WSM,4.284458333333333
YEM,6.67
ZAF,3.36
ZMB,5.13
ZWE,4.08
