,ISO3166-1-Alpha-3
0,ALB
1,DZA
2,AGO
3,ARG
4,ARM
5,AUS
6,AUT
7,AZE
8,BGD
9,BLR
10,BEL
11,BLZ
12,BEN
13,BTN
14,BOL
15,BIH
16,BWA
17,BRA
18,BGR
19,BFA
20,BDI
21,CMR
22,CAN
23,CPV
24,CAF
25,TCD
26,CHL
27,CHN
28,COL
29,COM
30,COG
31,COD
32,CRI
33,HRV
34,CYP
35,CZE
36,CIV
37,DNK
38,DJI
39,DOM
40,ECU
41,SLV
42,EST
43,ETH
44,FIN
45,FRA
46,GAB
47,GEO
48,DEU
49,GHA
50,GRC
51,GTM
52,GIN
53,GNB
54,GUY
55,HND
56,HUN
57,ISL
58,IND
59,IDN
60,IRN
61,IRQ
62,IRL
63,ISR
64,ITA
65,JAM
66,JPN
67,JOR
68,KAZ
69,KEN
70,KGZ
71,LAO
72,LVA
73,LSO
74,LBR
75,LTU
76,LUX
77,MDG
78,MWI
79,MYS
80,MDV
81,MLI
82,MRT
83,MUS
84,MEX
85,MDA
86,MNG
87,MNE
88,MAR
89,MOZ
90,MMR
91,NAM
92,NPL
93,NLD
94,NIC
95,NER
96,NGA
97,NOR
98,PAK
99,PAN
100,PRY
101,PER
102,PHL
103,POL
104,PRT
105,ROU
106,RUS
107,RWA
108,SEN
109,SRB
110,SLE
111,SVK
112,SVN
113,ZAF
114,ESP
115,LKA
116,SDN
117,SWZ
118,SWE
119,CHE
120,TJK
121,TZA
122,THA
123,GMB
124,TLS
125,TGO
126,TTO
127,TUN
128,TUR
129,UGA
130,UKR
131,GBR
132,USA
133,URY
134,UZB
135,VEN
136,VNM
137,ZMB
138,ZWE
