iso,percentage_school_prim,percentage_school_ls,percentage_school_prim_ls
ABW,0.070628957,0.02471335,0.095342307
AFG,0.167468821,0.075125728,0.242594549
AGO,0.22502064,0.092959054,0.317979694
ALB,0.055088255,0.054234513,0.109322768
ARE,0.04241838,0.027626264,0.070044644
ARG,0.102236945,0.050424765,0.152661709
ARM,0.049437476,0.055815079,0.105252555
AUS,0.087277326,0.04709674,0.134374066
AUT,0.037565468,0.038950751,0.076516219
AZE,0.05326912,0.065365177,0.118634297
BDI,0.164193785,0.09098197,0.255175755
BEL,0.068939752,0.022314386,0.091254138
BEN,0.166554216,0.096202215,0.262756431
BFA,0.161864119,0.090930653,0.252794773
BGD,0.097484869,0.060770312,0.158255181
BGR,0.038241935,0.033627864,0.071869799
BHR,0.065390923,0.028531395,0.093922318
BHS,0.105069022,0.052990572,0.158059593
BIH,0.047661219,0.038121168,0.085782387
BLR,0.041391586,0.046042665,0.087434251
BLZ,0.135764405,0.092704305,0.22846871
BOL,0.131735779,0.043277278,0.175013057
BRA,0.073504832,0.063062307,0.136567139
BRB,0.078980968,0.041727777,0.120708745
BRN,0.088383026,0.031662831,0.120045857
BTN,0.119564885,0.073094764,0.192659649
BWA,0.156735258,0.060614899,0.217350157
CAF,0.163693155,0.096110448,0.259803603
CAN,0.062694032,0.031838103,0.094532135
CHE,0.059594174,0.031134684,0.090728858
CHL,0.082119804,0.027286997,0.109406801
CHN,0.073070406,0.036846242,0.109916649
CIV,0.173222188,0.103740561,0.276962749
CMR,0.173616679,0.098479628,0.272096307
COD,0.169020714,0.047795553,0.216816267
COG,0.167012411,0.092912738,0.259925149
COL,0.078794737,0.068103002,0.146897739
COM,0.142535615,0.084091133,0.226626748
CPV,0.120527975,0.060309552,0.180837526
CRI,0.08505851,0.043931444,0.128989954
CUB,0.066984464,0.036522365,0.10350683
CYP,0.046027119,0.023163153,0.069190272
CZE,0.049956951,0.034046155,0.084003106
DEU,0.034486682,0.056824231,0.091310912
DJI,0.092704827,0.075420999,0.168125826
DNK,0.081325805,0.036342233,0.117668038
DOM,0.111508604,0.037327424,0.148836028
DZA,0.089021129,0.059546666,0.148567795
ECU,0.120214021,0.060221325,0.180435347
EGY,0.123830553,0.058280975,0.182111528
ERI,0.077961941,0.037058739,0.115020679
ESP,0.059196712,0.027490339,0.086687051
EST,0.061394687,0.02595329,0.087347978
ETH,0.17324873,0.106460488,0.279709218
FIN,0.06431036,0.031889746,0.096200106
FJI,0.113639947,0.065976174,0.179616122
FRA,0.06450125,0.051772529,0.116273778
FSM,0.125928805,0.042640394,0.168569199
GAB,0.13133335,0.091887558,0.223220908
GBR,0.070645869,0.032881595,0.103527464
GEO,0.065947023,0.031506073,0.097453095
GHA,0.14709553,0.067531418,0.214626948
GIN,0.174593694,0.102703431,0.277297125
GLP,0.105069022,0.052990572,0.158059593
GMB,0.166401925,0.073128814,0.23953074
GNB,0.164705638,0.071818565,0.236524203
GNQ,0.189266395,0.101022113,0.290288508
GRC,0.056495285,0.028012255,0.084507539
GRD,0.105922733,0.04464427,0.150567003
GTM,0.146761372,0.072337904,0.219099276
GUF,0.105069022,0.052990572,0.158059593
GUM,0.06961979,0.035243669,0.104863459
GUY,0.117316831,0.064789841,0.182106671
HKG,0.040983658,0.023258521,0.064242179
HND,0.105069022,0.052990572,0.158059593
HRV,0.036915312,0.038388997,0.075304309
HTI,0.137459503,0.065872232,0.203331735
HUN,0.039234458,0.039350063,0.078584521
IDN,0.111494148,0.055643013,0.167137161
IND,0.097622566,0.058069802,0.155692368
IRL,0.112948195,0.038413256,0.151361451
IRN,0.089901833,0.028001627,0.11790346
