iso,elec,variable,unit.energy,thres.energy,thres.energy.op,thres.energy.conrep
ABW,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1245.695105,1243.076923,2.618181818
ABW,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ABW,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ABW,elec,Appliance|television,MJ/cap/year,458.013986,402.7972028,55.21678322
ABW,non.elec,Appliance|television,MJ/cap/year,0,0,0
ABW,total,Appliance|television,MJ/cap/year,0,0,0
ABW,elec,Appliance|mobile_telephone,MJ/cap/year,27.8041958,15.4965035,12.30769231
ABW,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
ABW,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
ABW,elec,Appliance|refrigerator,MJ/cap/year,463.4405594,322.2377622,141.2027972
ABW,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
ABW,total,Appliance|refrigerator,MJ/cap/year,0,0,0
AFG,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1245.695105,1243.076923,2.618181818
AFG,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AFG,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AFG,elec,Appliance|television,MJ/cap/year,458.013986,402.7972028,55.21678322
AFG,non.elec,Appliance|television,MJ/cap/year,0,0,0
AFG,total,Appliance|television,MJ/cap/year,0,0,0
AFG,elec,Appliance|mobile_telephone,MJ/cap/year,27.8041958,15.4965035,12.30769231
AFG,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AFG,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AFG,elec,Appliance|refrigerator,MJ/cap/year,463.4405594,322.2377622,141.2027972
AFG,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
AFG,total,Appliance|refrigerator,MJ/cap/year,0,0,0
AGO,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1245.695105,1243.076923,2.618181818
AGO,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AGO,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
AGO,elec,Appliance|television,MJ/cap/year,458.013986,402.7972028,55.21678322
AGO,non.elec,Appliance|television,MJ/cap/year,0,0,0
AGO,total,Appliance|television,MJ/cap/year,0,0,0
AGO,elec,Appliance|mobile_telephone,MJ/cap/year,27.8041958,15.4965035,12.30769231
AGO,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AGO,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
AGO,elec,Appliance|refrigerator,MJ/cap/year,463.4405594,322.2377622,141.2027972
AGO,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
AGO,total,Appliance|refrigerator,MJ/cap/year,0,0,0
ALB,elec,Appliance|clean_cooking_fuel,MJ/cap/year,1245.695105,1243.076923,2.618181818
ALB,non.elec,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ALB,total,Appliance|clean_cooking_fuel,MJ/cap/year,0,0,0
ALB,elec,Appliance|television,MJ/cap/year,458.013986,402.7972028,55.21678322
ALB,non.elec,Appliance|television,MJ/cap/year,0,0,0
ALB,total,Appliance|television,MJ/cap/year,0,0,0
ALB,elec,Appliance|mobile_telephone,MJ/cap/year,27.8041958,15.4965035,12.30769231
ALB,non.elec,Appliance|mobile_telephone,MJ/cap/year,0,0,0
ALB,total,Appliance|mobile_telephone,MJ/cap/year,0,0,0
ALB,elec,Appliance|refrigerator,MJ/cap/year,463.4405594,322.2377622,141.2027972
ALB,non.elec,Appliance|refrigerator,MJ/cap/year,0,0,0
ALB,total,Appliance|refrigerator,MJ/cap/year,0,0,0
