iso,ldv,twothree,bus,rail
ABW,0.35,0.12,0.29,0.24
AFG,0.35,0.12,0.29,0.24
AGO,0.35,0.12,0.29,0.24
ALB,0.35,0.12,0.29,0.24
ARE,0.35,0.12,0.29,0.24
ARG,0.35,0.12,0.29,0.24
ARM,0.35,0.12,0.29,0.24
AUS,0.35,0.12,0.29,0.24
AUT,0.35,0.12,0.29,0.24
AZE,0.35,0.12,0.29,0.24
BDI,0.35,0.12,0.29,0.24
BEL,0.35,0.12,0.29,0.24
BEN,0.35,0.12,0.29,0.24
BFA,0.35,0.12,0.29,0.24
BGD,0.35,0.12,0.29,0.24
BGR,0.35,0.12,0.29,0.24
BHR,0.35,0.12,0.29,0.24
BHS,0.35,0.12,0.29,0.24
BIH,0.35,0.12,0.29,0.24
BLR,0.35,0.12,0.29,0.24
BLZ,0.35,0.12,0.29,0.24
BOL,0.35,0.12,0.29,0.24
BRA,0.35,0.12,0.29,0.24
BRB,0.35,0.12,0.29,0.24
BRN,0.35,0.12,0.29,0.24
BTN,0.35,0.12,0.29,0.24
BWA,0.35,0.12,0.29,0.24
CAF,0.35,0.12,0.29,0.24
CAN,0.35,0.12,0.29,0.24
CHE,0.35,0.12,0.29,0.24
CHL,0.35,0.12,0.29,0.24
CHN,0.35,0.12,0.29,0.24
CIV,0.35,0.12,0.29,0.24
CMR,0.35,0.12,0.29,0.24
COD,0.35,0.12,0.29,0.24
COG,0.35,0.12,0.29,0.24
COL,0.35,0.12,0.29,0.24
COM,0.35,0.12,0.29,0.24
CPV,0.35,0.12,0.29,0.24
CRI,0.35,0.12,0.29,0.24
CUB,0.35,0.12,0.29,0.24
CYP,0.35,0.12,0.29,0.24
CZE,0.35,0.12,0.29,0.24
DEU,0.35,0.12,0.29,0.24
DJI,0.35,0.12,0.29,0.24
DNK,0.35,0.12,0.29,0.24
DOM,0.35,0.12,0.29,0.24
DZA,0.35,0.12,0.29,0.24
ECU,0.35,0.12,0.29,0.24
EGY,0.35,0.12,0.29,0.24
ERI,0.35,0.12,0.29,0.24
ESP,0.35,0.12,0.29,0.24
EST,0.35,0.12,0.29,0.24
ETH,0.35,0.12,0.29,0.24
FIN,0.35,0.12,0.29,0.24
FJI,0.35,0.12,0.29,0.24
FRA,0.35,0.12,0.29,0.24
FSM,0.35,0.12,0.29,0.24
GAB,0.35,0.12,0.29,0.24
GBR,0.35,0.12,0.29,0.24
GEO,0.35,0.12,0.29,0.24
GHA,0.35,0.12,0.29,0.24
GIN,0.35,0.12,0.29,0.24
GLP,0.35,0.12,0.29,0.24
GMB,0.35,0.12,0.29,0.24
GNB,0.35,0.12,0.29,0.24
GNQ,0.35,0.12,0.29,0.24
GRC,0.35,0.12,0.29,0.24
GRD,0.35,0.12,0.29,0.24
GTM,0.35,0.12,0.29,0.24
GUF,0.35,0.12,0.29,0.24
GUM,0.35,0.12,0.29,0.24
GUY,0.35,0.12,0.29,0.24
HKG,0.35,0.12,0.29,0.24
HND,0.35,0.12,0.29,0.24
HRV,0.35,0.12,0.29,0.24
HTI,0.35,0.12,0.29,0.24
HUN,0.35,0.12,0.29,0.24
IDN,0.35,0.12,0.29,0.24
IND,0.35,0.12,0.29,0.24
IRL,0.35,0.12,0.29,0.24
IRN,0.35,0.12,0.29,0.24
IRQ,0.35,0.12,0.29,0.24
ISL,0.35,0.12,0.29,0.24
ISR,0.35,0.12,0.29,0.24
ITA,0.35,0.12,0.29,0.24
