iso,ldv,twothree,bus,rail,
ABW,0.2,0.15,0.35,0.3,
AFG,0.2,0.15,0.35,0.3,
AGO,0.2,0.15,0.35,0.3,
ALB,0.2,0.15,0.35,0.3,
ARE,0.2,0.15,0.35,0.3,
ARG,0.2,0.15,0.35,0.3,
ARM,0.2,0.15,0.35,0.3,
AUS,0.2,0.15,0.35,0.3,
AUT,0.2,0.15,0.35,0.3,
AZE,0.2,0.15,0.35,0.3,
BDI,0.2,0.15,0.35,0.3,
BEL,0.2,0.15,0.35,0.3,
BEN,0.2,0.15,0.35,0.3,
BFA,0.2,0.15,0.35,0.3,
BGD,0.2,0.15,0.35,0.3,
BGR,0.2,0.15,0.35,0.3,
BHR,0.2,0.15,0.35,0.3,
BHS,0.2,0.15,0.35,0.3,
BIH,0.2,0.15,0.35,0.3,
BLR,0.2,0.15,0.35,0.3,
BLZ,0.2,0.15,0.35,0.3,
BOL,0.2,0.15,0.35,0.3,
BRA,0.2,0.15,0.35,0.3,
BRB,0.2,0.15,0.35,0.3,
BRN,0.2,0.15,0.35,0.3,
BTN,0.2,0.15,0.35,0.3,
BWA,0.2,0.15,0.35,0.3,
CAF,0.2,0.15,0.35,0.3,
CAN,0.2,0.15,0.35,0.3,
CHE,0.2,0.15,0.35,0.3,
CHL,0.2,0.15,0.35,0.3,
CHN,0.2,0.15,0.35,0.3,
CIV,0.2,0.15,0.35,0.3,
CMR,0.2,0.15,0.35,0.3,
COD,0.2,0.15,0.35,0.3,
COG,0.2,0.15,0.35,0.3,
COL,0.2,0.15,0.35,0.3,
COM,0.2,0.15,0.35,0.3,
CPV,0.2,0.15,0.35,0.3,
CRI,0.2,0.15,0.35,0.3,
CUB,0.2,0.15,0.35,0.3,
CYP,0.2,0.15,0.35,0.3,
CZE,0.2,0.15,0.35,0.3,
DEU,0.2,0.15,0.35,0.3,
DJI,0.2,0.15,0.35,0.3,
DNK,0.2,0.15,0.35,0.3,
DOM,0.2,0.15,0.35,0.3,
DZA,0.2,0.15,0.35,0.3,
ECU,0.2,0.15,0.35,0.3,
EGY,0.2,0.15,0.35,0.3,
ERI,0.2,0.15,0.35,0.3,
ESP,0.2,0.15,0.35,0.3,
EST,0.2,0.15,0.35,0.3,
ETH,0.2,0.15,0.35,0.3,
FIN,0.2,0.15,0.35,0.3,
FJI,0.2,0.15,0.35,0.3,
FRA,0.2,0.15,0.35,0.3,
FSM,0.2,0.15,0.35,0.3,
GAB,0.2,0.15,0.35,0.3,
GBR,0.2,0.15,0.35,0.3,
GEO,0.2,0.15,0.35,0.3,
GHA,0.2,0.15,0.35,0.3,
GIN,0.2,0.15,0.35,0.3,
GLP,0.2,0.15,0.35,0.3,
GMB,0.2,0.15,0.35,0.3,
GNB,0.2,0.15,0.35,0.3,
GNQ,0.2,0.15,0.35,0.3,
GRC,0.2,0.15,0.35,0.3,
GRD,0.2,0.15,0.35,0.3,
GTM,0.2,0.15,0.35,0.3,
GUF,0.2,0.15,0.35,0.3,
GUM,0.2,0.15,0.35,0.3,
GUY,0.2,0.15,0.35,0.3,
HKG,0.2,0.15,0.35,0.3,
HND,0.2,0.15,0.35,0.3,
HRV,0.2,0.15,0.35,0.3,
HTI,0.2,0.15,0.35,0.3,
HUN,0.2,0.15,0.35,0.3,
IDN,0.2,0.15,0.35,0.3,
IND,0.2,0.15,0.35,0.3,
IRL,0.2,0.15,0.35,0.3,
IRN,0.2,0.15,0.35,0.3,
IRQ,0.2,0.15,0.35,0.3,
ISL,0.2,0.15,0.35,0.3,
ISR,0.2,0.15,0.35,0.3,
ITA,0.2,0.15,0.35,0.3,
JAM,0.2,0.15,0.35,0.3,
JOR,0.2,0.15,0.35,0.3,
JPN,0.2,0.15,0.35,0.3,
KAZ,0.2,0.15,0.35,0.3,
KEN,0.2,0.15,0.35,0.3,
KGZ,0.2,0.15,0.35,0.3,
KHM,0.2,0.15,0.35,0.3,
KOR,0.2,0.15,0.35,0.3,
KWT,0.2,0.15,0.35,0.3,
LAO,0.2,0.15,0.35,0.3,
LBN,0.2,0.15,0.35,0.3,
LBR,0.2,0.15,0.35,0.3,
LBY,0.2,0.15,0.35,0.3,
LCA,0.2,0.15,0.35,0.3,
LKA,0.2,0.15,0.35,0.3,
LSO,0.2,0.15,0.35,0.3,
LTU,0.2,0.15,0.35,0.3,
LUX,0.2,0.15,0.35,0.3,
LVA,0.2,0.15,0.35,0.3,
MAC,0.2,0.15,0.35,0.3,
MAR,0.2,0.15,0.35,0.3,
MDA,0.2,0.15,0.35,0.3,
MDG,0.2,0.15,0.35,0.3,
MDV,0.2,0.15,0.35,0.3,
MEX,0.2,0.15,0.35,0.3,
MKD,0.2,0.15,0.35,0.3,
MLI,0.2,0.15,0.35,0.3,
MLT,0.2,0.15,0.35,0.3,
MMR,0.2,0.15,0.35,0.3,
MNE,0.2,0.15,0.35,0.3,
MNG,0.2,0.15,0.35,0.3,
MOZ,0.2,0.15,0.35,0.3,
MRT,0.2,0.15,0.35,0.3,
MTQ,0.2,0.15,0.35,0.3,
MUS,0.2,0.15,0.35,0.3,
MWI,0.2,0.15,0.35,0.3,
MYS,0.2,0.15,0.35,0.3,
MYT,0.2,0.15,0.35,0.3,
NAM,0.2,0.15,0.35,0.3,
NCL,0.2,0.15,0.35,0.3,
NER,0.2,0.15,0.35,0.3,
NGA,0.2,0.15,0.35,0.3,
NIC,0.2,0.15,0.35,0.3,
NLD,0.2,0.15,0.35,0.3,
NOR,0.2,0.15,0.35,0.3,
NPL,0.2,0.15,0.35,0.3,
NZL,0.2,0.15,0.35,0.3,
OMN,0.2,0.15,0.35,0.3,
PAK,0.2,0.15,0.35,0.3,
PAN,0.2,0.15,0.35,0.3,
PER,0.2,0.15,0.35,0.3,
PHL,0.2,0.15,0.35,0.3,
PNG,0.2,0.15,0.35,0.3,
POL,0.2,0.15,0.35,0.3,
PRI,0.2,0.15,0.35,0.3,
PRK,0.2,0.15,0.35,0.3,
PRT,0.2,0.15,0.35,0.3,
PRY,0.2,0.15,0.35,0.3,
PSE,0.2,0.15,0.35,0.3,
PYF,0.2,0.15,0.35,0.3,
QAT,0.2,0.15,0.35,0.3,
REU,0.2,0.15,0.35,0.3,
ROU,0.2,0.15,0.35,0.3,
RUS,0.2,0.15,0.35,0.3,
RWA,0.2,0.15,0.35,0.3,
SAU,0.2,0.15,0.35,0.3,
SDN,0.2,0.15,0.35,0.3,
SEN,0.2,0.15,0.35,0.3,
SGP,0.2,0.15,0.35,0.3,
SLB,0.2,0.15,0.35,0.3,
SLE,0.2,0.15,0.35,0.3,
SLV,0.2,0.15,0.35,0.3,
SOM,0.2,0.15,0.35,0.3,
SRB,0.2,0.15,0.35,0.3,
STP,0.2,0.15,0.35,0.3,
SUR,0.2,0.15,0.35,0.3,
SVK,0.2,0.15,0.35,0.3,
SVN,0.2,0.15,0.35,0.3,
SWE,0.2,0.15,0.35,0.3,
SWZ,0.2,0.15,0.35,0.3,
SYR,0.2,0.15,0.35,0.3,
TCD,0.2,0.15,0.35,0.3,
TGO,0.2,0.15,0.35,0.3,
THA,0.2,0.15,0.35,0.3,
TJK,0.2,0.15,0.35,0.3,
TKM,0.2,0.15,0.35,0.3,
TLS,0.2,0.15,0.35,0.3,
TON,0.2,0.15,0.35,0.3,
TTO,0.2,0.15,0.35,0.3,
TUN,0.2,0.15,0.35,0.3,
TUR,0.2,0.15,0.35,0.3,
TZA,0.2,0.15,0.35,0.3,
UGA,0.2,0.15,0.35,0.3,
UKR,0.2,0.15,0.35,0.3,
URY,0.2,0.15,0.35,0.3,
USA,0.2,0.15,0.35,0.3,
UZB,0.2,0.15,0.35,0.3,
VCT,0.2,0.15,0.35,0.3,
VEN,0.2,0.15,0.35,0.3,
VIR,0.2,0.15,0.35,0.3,
