iso,ldv,twothree,bus,rail,
ABW,0.18,0.135,0.315,0.27,
AFG,0.18,0.135,0.315,0.27,
AGO,0.18,0.135,0.315,0.27,
ALB,0.18,0.135,0.315,0.27,
ARE,0.18,0.135,0.315,0.27,
ARG,0.18,0.135,0.315,0.27,
ARM,0.18,0.135,0.315,0.27,
AUS,0.18,0.135,0.315,0.27,
AUT,0.18,0.135,0.315,0.27,
AZE,0.18,0.135,0.315,0.27,
BDI,0.18,0.135,0.315,0.27,
BEL,0.18,0.135,0.315,0.27,
BEN,0.18,0.135,0.315,0.27,
BFA,0.18,0.135,0.315,0.27,
BGD,0.18,0.135,0.315,0.27,
BGR,0.18,0.135,0.315,0.27,
BHR,0.18,0.135,0.315,0.27,
BHS,0.18,0.135,0.315,0.27,
BIH,0.18,0.135,0.315,0.27,
BLR,0.18,0.135,0.315,0.27,
BLZ,0.18,0.135,0.315,0.27,
BOL,0.18,0.135,0.315,0.27,
BRA,0.18,0.135,0.315,0.27,
BRB,0.18,0.135,0.315,0.27,
BRN,0.18,0.135,0.315,0.27,
BTN,0.18,0.135,0.315,0.27,
BWA,0.18,0.135,0.315,0.27,
CAF,0.18,0.135,0.315,0.27,
CAN,0.18,0.135,0.315,0.27,
CHE,0.18,0.135,0.315,0.27,
CHL,0.18,0.135,0.315,0.27,
CHN,0.18,0.135,0.315,0.27,
CIV,0.18,0.135,0.315,0.27,
CMR,0.18,0.135,0.315,0.27,
COD,0.18,0.135,0.315,0.27,
COG,0.18,0.135,0.315,0.27,
COL,0.18,0.135,0.315,0.27,
COM,0.18,0.135,0.315,0.27,
CPV,0.18,0.135,0.315,0.27,
CRI,0.18,0.135,0.315,0.27,
CUB,0.18,0.135,0.315,0.27,
CYP,0.18,0.135,0.315,0.27,
CZE,0.18,0.135,0.315,0.27,
DEU,0.18,0.135,0.315,0.27,
DJI,0.18,0.135,0.315,0.27,
DNK,0.18,0.135,0.315,0.27,
DOM,0.18,0.135,0.315,0.27,
DZA,0.18,0.135,0.315,0.27,
ECU,0.18,0.135,0.315,0.27,
EGY,0.18,0.135,0.315,0.27,
ERI,0.18,0.135,0.315,0.27,
ESP,0.18,0.135,0.315,0.27,
EST,0.18,0.135,0.315,0.27,
ETH,0.18,0.135,0.315,0.27,
